3_Computer_Repair_Service;198.260532;[38.772432];[2051];[11];[80.352522];[2448];[141];[79.134325];[3225];[182];0
4_Expense_Handling_Process;338.635982;[40.395026, 39.603884];[2022, 2022];[13, 13];[63.40365, 64.234304];[2421, 2421];[83, 80];[63.307265, 67.689061];[3138, 3134];[134, 156];1
8_Mikkeller_webshop;1050.160516;[39.899114, 39.116208, 40.268488];[2089, 2089, 2089];[7, 7, 7];[75.104653, 78.927419, 99.62405];[2482, 2482, 2482];[129, 150, 251];[184.049904, 357.719356, 135.446918];[3250, 3271, 3353];[753, 1852, 500];2
10_Design_approval;806.597552;[39.559319, 39.044731, 38.92445, 39.390158];[2013, 2013, 2013, 2013];[11, 11, 11, 15];[69.487181, 79.153822, 83.453041, 85.995251];[2410, 2410, 2410, 2414];[110, 141, 159, 156];[90.866834, 82.569304, 77.085364, 81.061837];[3155, 3187, 3205, 3201];[231, 206, 169, 187];3
15_Long_term_renting_process;303.481756;[46.526839];[2331];[13];[126.455049];[2730];[337];[130.497389];[3700];[382];0
16_Bicycle_Rental_Process;693.927513;[46.972723, 47.929521];[2284, 2284];[25, 25];[144.814644, 142.986976];[2696, 2696];[430, 442];[143.682784, 167.537334];[3750, 3757];[449, 593];1
18_nan;369.416153;[57.625145];[2575];[40];[152.427055];[2999];[462];[159.356866];[4048];[521];0
1_Hospital_Workflow;1991.799186;[34.490438, 34.829524, 36.098017, 34.6439, 34.728918, 36.964759, 35.998674, 41.186033, 36.713236];[2139, 2139, 2139, 2139, 2139, 2139, 2139, 2139, 2139];[12, 12, 19, 12, 12, 22, 19, 12, 12];[74.371955, 78.02284, 75.929976, 76.898385, 72.36863, 89.60367, 93.866647, 72.470067, 66.336123];[2537, 2537, 2548, 2537, 2537, 2552, 2548, 2537, 2537];[158, 171, 164, 170, 148, 226, 241, 142, 118];[110.729014, 127.060104, 104.174349, 122.149795, 107.225083, 102.03687, 123.858509, 73.927096, 95.103094];[3330, 3342, 3336, 3342, 3327, 3397, 3413, 3307, 3296];[372, 428, 340, 438, 373, 320, 482, 185, 277];8
13_Translation_Order_Handling_Process;257.945481;[35.079792];[2169];[10];[95.949955];[2565];[256];[126.913469];[3457];[444];0
5_Quality_control_of_medical_products;772.956615;[41.507405, 36.906489, 41.996012];[2123, 2123, 2123];[24, 20, 24];[109.878703, 98.565983, 113.134173];[2534, 2529, 2534];[305, 270, 343];[108.89779, 122.449724, 99.615487];[3462, 3425, 3433];[332, 425, 356];2
